epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.93201,1.14703,2.50879,1.51154,0.48257,0.96514,0.4975,0.4975,0.344,2.69263,1.04873,2e-05,2e-05,2e-05
2,8.29136,0.90931,1.68285,1.41691,0.85177,1,0.995,0.995,0.2048,1.78922,0.94879,5.7624e-05,5.7624e-05,5.7624e-05
3,12.153,0.94307,1.71249,1.55907,0.95734,1,0.995,0.995,0.16206,2.04198,0.93,9.208e-05,9.208e-05,9.208e-05
4,16.4504,0.82692,1.94151,1.39198,0.95218,1,0.995,0.995,0.11352,2.09904,0.90991,0.000123368,0.000123368,0.000123368
5,20.397,0.53712,1.1494,1.11129,0.95564,1,0.995,0.995,0.10525,2.19302,0.90021,0.000151488,0.000151488,0.000151488
6,24.0426,0.89886,1.44669,1.47795,0.95564,1,0.995,0.995,0.10525,2.19302,0.90021,0.00017644,0.00017644,0.00017644
7,27.6812,0.70428,1.33915,1.22542,0.97004,1,0.995,0.995,0.1171,2.29642,0.9027,0.000198224,0.000198224,0.000198224
8,31.2964,0.78277,1.12845,1.25639,0.9717,1,0.995,0.995,0.12658,1.68332,0.91325,0.00021684,0.00021684,0.00021684
9,34.7533,0.68583,1.08403,1.30258,0.9717,1,0.995,0.995,0.12658,1.68332,0.91325,0.000232288,0.000232288,0.000232288
10,38.3363,0.62464,1.04484,1.16048,0.97019,1,0.995,0.995,0.12811,1.38482,0.92262,0.000244568,0.000244568,0.000244568
11,41.8938,0.58859,0.98912,1.16233,0.97019,1,0.995,0.995,0.12811,1.38482,0.92262,0.00025368,0.00025368,0.00025368
12,45.5688,0.67615,1.20051,1.1717,0.97105,1,0.995,0.995,0.17275,1.33769,0.97013,0.000259624,0.000259624,0.000259624
13,49.1187,0.70094,0.96006,1.10027,0.97105,1,0.995,0.995,0.17275,1.33769,0.97013,0.0002624,0.0002624,0.0002624
14,52.6674,0.48138,0.9043,1.00588,0.97105,1,0.995,0.995,0.17275,1.33769,0.97013,0.000262008,0.000262008,0.000262008
15,56.1208,0.71634,1.26888,1.24842,0.96933,1,0.995,0.995,0.22117,1.1463,1.01137,0.000258448,0.000258448,0.000258448
16,59.6164,0.50999,1.73393,1.16374,0.96933,1,0.995,0.995,0.22117,1.1463,1.01137,0.00025172,0.00025172,0.00025172
17,63.0624,0.46672,1.78395,1.10735,0.96933,1,0.995,0.995,0.22117,1.1463,1.01137,0.000241824,0.000241824,0.000241824
18,66.6127,0.3283,1.55475,0.92235,0.97085,1,0.995,0.995,0.18777,1.07476,0.96735,0.00022876,0.00022876,0.00022876
19,70.1309,0.2806,1.22902,0.89502,0.97085,1,0.995,0.995,0.18777,1.07476,0.96735,0.000212528,0.000212528,0.000212528
20,74.6414,0.3539,1.29929,1.02233,0.97085,1,0.995,0.995,0.18777,1.07476,0.96735,0.000193128,0.000193128,0.000193128
21,78.3084,0.37451,1.48837,1.05768,0.97217,1,0.995,0.995,0.11184,0.75415,0.90482,0.00017056,0.00017056,0.00017056
22,81.8414,0.25117,1.23575,0.96682,0.97217,1,0.995,0.995,0.11184,0.75415,0.90482,0.000144824,0.000144824,0.000144824
23,85.3493,0.2128,1.17603,0.9187,0.97217,1,0.995,0.995,0.11184,0.75415,0.90482,0.00011592,0.00011592,0.00011592
24,88.955,0.25116,1.14691,0.92381,0.97217,1,0.995,0.995,0.11184,0.75415,0.90482,8.3848e-05,8.3848e-05,8.3848e-05
25,92.7784,0.24939,1.2504,0.90576,0.97252,1,0.995,0.995,0.08987,0.683,0.90018,4.8608e-05,4.8608e-05,4.8608e-05
